User,Kalman,RMSE_Orig_All
David,Potter_GramSchmidt,
David,Carlson_GramSchmidt,0.19052703008002445
David,Potter_Givens,
David,Carlson_Givens,
David,Potter_Householder,
David,Carlson_Householder,
Eveline,Potter_GramSchmidt,
Eveline,Carlson_GramSchmidt,
Eveline,Potter_Givens,
Eveline,Carlson_Givens,
Eveline,Potter_Householder,
Eveline,Carlson_Householder,
Luis,Potter_GramSchmidt,0.24436482640779647
Luis,Carlson_GramSchmidt,0.16598199763499524
Luis,Potter_Givens,0.24589097064354742
Luis,Carlson_Givens,
Luis,Potter_Householder,0.24399243702458961
Luis,Carlson_Householder,0.16598529889566258
